Timestamp,HT R Phase Current,Current_Winsorized,Current_Imputed,Current_Smooth
2019-07-30 21:40:00,0.09,0.0,0.09,0.09
2019-07-30 21:45:00,0.09,0.0,0.09,0.09
2019-07-30 21:50:00,0.09,0.0,0.09,0.09
2019-07-30 21:55:00,0.09,0.0,0.09,0.09
2019-07-30 22:00:00,0.09,0.0,0.09,0.09
2019-07-30 22:05:00,0.09,0.0,0.09,0.09
2019-07-30 22:10:00,0.09,0.0,0.09,0.09
2019-07-30 22:15:00,0.09,0.0,0.09,0.09
2019-07-30 22:20:00,0.09,0.0,0.09,0.09
2019-07-30 22:25:00,0.09,0.0,0.09,0.09
2019-07-30 22:30:00,0.09,0.0,0.09,0.09
2019-07-30 22:35:00,0.09,0.0,0.09,0.09
2019-07-30 22:40:00,0.09,0.0,0.09,0.09
2019-07-30 22:45:00,0.09,0.0,0.09,0.09
2019-07-30 22:50:00,0.09,0.0,0.09,0.09
2019-07-30 22:55:00,0.09,0.0,0.09,0.09
2019-07-30 23:00:00,0.09,0.0,0.09,0.09
2019-07-30 23:05:00,0.09,0.0,0.09,0.09
2019-07-30 23:10:00,0.09,0.0,0.09,0.09
2019-07-30 23:15:00,0.09,0.0,0.09,0.09
2019-07-30 23:20:00,0.09,0.0,0.09,0.09
2019-07-30 23:25:00,0.09,0.0,0.09,0.09
2019-07-30 23:30:00,0.09,0.0,0.09,0.09
2019-07-30 23:35:00,0.09,0.0,0.09,0.09
2019-07-30 23:40:00,0.09,0.0,0.09,0.09
2019-07-30 23:45:00,0.09,0.0,0.09,0.09
2019-07-30 23:50:00,0.09,0.0,0.09,0.09
2019-07-30 23:55:00,0.09,0.0,0.09,0.09
2019-07-31 00:00:00,0.09,0.0,0.09,0.09
2019-07-31 00:05:00,0.09,0.0,0.09,0.09
2019-07-31 00:10:00,0.09,0.0,0.09,0.09
2019-07-31 00:15:00,0.09,0.0,0.09,0.09
2019-07-31 00:20:00,0.09,0.0,0.09,0.09
2019-07-31 00:25:00,0.09,0.0,0.09,0.09
2019-07-31 00:30:00,0.09,0.0,0.09,0.09
2019-07-31 00:35:00,0.09,0.0,0.09,0.09
2019-07-31 00:40:00,0.09,0.0,0.09,0.09
2019-07-31 00:45:00,0.09,0.0,0.09,0.09
2019-07-31 00:50:00,0.09,0.0,0.09,0.09
2019-07-31 00:55:00,0.09,0.0,0.09,0.09
2019-07-31 01:00:00,0.09,0.0,0.09,0.09
2019-07-31 01:05:00,0.09,0.0,0.09,0.09
2019-07-31 01:10:00,0.09,0.0,0.09,0.09
2019-07-31 01:15:00,0.09,0.0,0.09,0.09
2019-07-31 01:20:00,0.09,0.0,0.09,0.09
